SCC058,Noodles (Veg),veg,Veg Hongkong Noodles - F,100,https://rahool.in/temp/sct/src/webp/58sw_Veg Hongkong Noodles - F.webp,
SCC059,Noodles (Veg),veg,Mushroom Noodles - H,70,https://rahool.in/temp/sct/src/webp/59sw_Mushroom Noodles - H.webp,
SCC060,Noodles (Veg),veg,Mushroom Noodles - F,130,https://rahool.in/temp/sct/src/webp/60sw_Mushroom Noodles - F.webp,
SCC061,Noodles (Veg),veg,Paneer Noodles - H,80,https://rahool.in/temp/sct/src/webp/61sw_Paneer Noodles - H.webp,
SCC062,Noodles (Veg),veg,Paneer Noodles - F,140,https://rahool.in/temp/sct/src/webp/62sw_Paneer Noodles - F.webp,
SCC063,Noodles (Veg),veg,Veg Mix Noodles - H,100,https://rahool.in/temp/sct/src/webp/63sw_Veg Mix Noodles - H.webp,"""Mushroom Paneer & Baby Corn"""
SCC064,Noodles (Veg),veg,Veg Mix Noodles - F,160,https://rahool.in/temp/sct/src/webp/64sw_Veg Mix Noodles - F.webp,"""Mushroom Paneer & Baby Corn"""
SCC065,Noodles (Veg),veg,Veg Hot Garlic Noodles - H,60,https://rahool.in/temp/sct/src/webp/65sw_Veg Hot Garlic Noodles - H.webp,
SCC066,Noodles (Veg),veg,Veg Hot Garlic Noodles - F,100,https://rahool.in/temp/sct/src/webp/66sw_Veg Hot Garlic Noodles - F.webp,
SCC067,Noodles (Veg),veg,Paneer Hot Garlic Noodles - H,80,https://rahool.in/temp/sct/src/webp/67sw_Paneer Hot Garlic Noodles - H.webp,
SCC068,Noodles (Veg),veg,Paneer Hot Garlic Noodles - F,140,https://rahool.in/temp/sct/src/webp/68sw_Paneer Hot Garlic Noodles - F.webp,
SCC069,Rice (Veg),veg,Veg Fry Rice - H,60,https://rahool.in/temp/sct/src/webp/69sw_Veg Fry Rice - H.webp,
SCC070,Rice (Veg),veg,Veg Fry Rice - F,110,https://rahool.in/temp/sct/src/webp/70sw_Veg Fry Rice - F.webp,
SCC071,Rice (Veg),veg,Veg Mix Fry Rice - H,80,https://rahool.in/temp/sct/src/webp/71sw_Veg Mix Fry Rice - H.webp,
SCC072,Rice (Veg),veg,Veg Mix Fry Rice - F,150,https://rahool.in/temp/sct/src/webp/72sw_Veg Mix Fry Rice - F.webp,
SCC073,Rice (Veg),veg,Mushroom Fry Rice - H,80,https://rahool.in/temp/sct/src/webp/73sw_Mushroom Fry Rice - H.webp,
SCC074,Rice (Veg),veg,Mushroom Fry Rice - F,160,https://rahool.in/temp/sct/src/webp/74sw_Mushroom Fry Rice - F.webp,
SCC075,Rice (Veg),veg,Veg Hot Garlic Fry Rice - H,70,https://rahool.in/temp/sct/src/webp/75sw_Veg Hot Garlic Fry Rice - H.webp,
